design1,design2,merit1,merit2
91,130,10.0151,1.22425
24,9,72.7591,21.3479
170,414,4.74027,0.472526
3,541,29.834,8.29017
324,270,2.61951,0.46366499999999994
278,39,18.8796,2.4606
15,7,74.2761,28.8076
16,10,67.377,20.2867
176,20,40.5534,5.57711
19,57,4.70823,3.84235
104,42,38.5369,3.27756
631,21,7.14645,3.66869
5,16,6.1356699999999975,14.7071
366,42,8.62522,2.06839
6,36,41.8634,11.2273
710,112,16.2111,0.813227
56,116,7.387460000000001,1.57782
121,784,13.316,0.442493
627,103,13.4628,0.8787209999999999
20,301,12.4928,2.06247
38,14,65.7528,12.7715
400,24,9.91512,3.39691
979,9,76.149,49.56
8,23,0.7302930000000001,9.43518
9,48,34.0465,7.46293
8,68,44.5738,7.61138
631,15,4.2464699999999995,5.24521
86,14,60.2343,10.2649
30,5,80.7305,35.601
3,54,67.1305,18.3806
127,483,7.82861,0.511092
